caldt,vwretd,ewretd
1973/01/02,0.008866,0.012583
1973/01/03,0.004016,0.003607
1973/01/04,-0.001980,-0.001049
1973/01/05,0.003887,0.001154
1973/01/08,-0.000208,-0.000653
1973/01/09,-0.000821,-0.002337
1973/01/10,-0.002391,-0.003765
1973/01/11,0.006840,0.002040
1973/01/12,-0.008031,-0.010359
1973/01/15,-0.007214,-0.009260
1973/01/16,-0.002526,-0.005510
1973/01/17,0.004521,0.003767
1973/01/18,0.001475,-0.001130
1973/01/19,-0.000655,-0.004399
1973/01/22,-0.004828,-0.005741
1973/01/23,0.000242,-0.004309
1973/01/24,-0.012683,-0.014809
1973/01/26,-0.002339,-0.004628
1973/01/29,-0.003538,-0.004803
1973/01/30,-0.001212,-0.002118
1973/01/31,0.001933,0.001649
1973/02/01,-0.010907,-0.009223
1973/02/02,-0.003568,-0.003849
1973/02/05,-0.000003,-0.002023
1973/02/06,0.002161,0.000408
1973/02/07,-0.006591,-0.005096
1973/02/08,-0.003805,-0.004739
1973/02/09,0.013785,0.010628
1973/02/12,0.011907,0.011523
1973/02/13,0.006307,0.005426
1973/02/14,-0.014400,-0.012473
1973/02/15,-0.005697,-0.005473
1973/02/16,0.004819,0.001793
1973/02/20,0.003814,0.001438
1973/02/21,-0.006251,-0.007351
1973/02/22,-0.002151,-0.004391
1973/02/23,-0.010701,-0.009628
1973/02/26,-0.008438,-0.009986
1973/02/27,-0.011285,-0.009016
1973/02/28,0.007211,0.004097
1973/03/01,-0.005756,-0.004022
1973/03/02,0.011101,0.004436
1973/03/05,0.003587,0.003869
1973/03/06,0.012652,0.012131
1973/03/07,0.003203,0.005472
1973/03/08,-0.001851,-0.000844
1973/03/09,-0.003855,-0.003240
1973/03/12,0.000789,-0.001978
1973/03/13,0.005538,0.001002
1973/03/14,0.004446,0.000063
1973/03/15,-0.007426,-0.008586
1973/03/16,-0.005049,-0.004121
1973/03/19,-0.012123,-0.011198
1973/03/20,-0.002106,-0.003702
1973/03/21,-0.013273,-0.009811
1973/03/22,-0.015029,-0.014731
1973/03/23,0.000319,0.000651
1973/03/26,0.009020,0.006521
1973/03/27,0.015666,0.013793
1973/03/28,0.000615,-0.000285
1973/03/29,0.009924,0.008296
1973/03/30,-0.010651,-0.005408
1973/04/02,-0.011918,-0.008362
1973/04/03,-0.008584,-0.008504
1973/04/04,-0.004321,-0.003171
1973/04/05,-0.002308,-0.005725
1973/04/06,0.007001,0.005360
1973/04/09,0.014645,0.010534
1973/04/10,0.012361,0.010034
1973/04/11,0.004323,0.003602
1973/04/12,-0.001060,-0.000922
1973/04/13,-0.004373,-0.003551
1973/04/16,-0.005748,-0.002855
1973/04/17,-0.004431,-0.004766
1973/04/18,0.005473,0.000826
1973/04/19,0.005677,0.006623
1973/04/23,-0.005408,-0.006338
1973/04/24,-0.014126,-0.014101
1973/04/25,-0.015008,-0.015890
1973/04/26,0.004985,0.001802
1973/04/27,-0.015358,-0.011713
1973/04/30,-0.001942,-0.001825
1973/05/01,0.001491,-0.001785
1973/05/02,0.013012,0.010040
1973/05/03,0.017035,0.012272
1973/05/04,0.007605,0.009215
1973/05/07,-0.003928,-0.004310
1973/05/08,0.006578,0.005553
1973/05/09,-0.007280,-0.001331
1973/05/10,-0.008053,-0.007163
1973/05/11,-0.011926,-0.011300
1973/05/14,-0.020953,-0.020300
1973/05/15,0.006819,0.001665
1973/05/16,-0.001171,-0.003150
1973/05/17,-0.008239,-0.010670
1973/05/18,-0.016096,-0.021801
1973/05/21,-0.010703,-0.022048
1973/05/22,0.008337,0.007138
1973/05/23,0.005025,0.003954
1973/05/24,0.030336,0.022037
1973/05/25,0.007848,0.013843
1973/05/29,-0.003954,-0.001742
1973/05/30,-0.014872,-0.015253
1973/05/31,-0.009160,-0.010582
1973/06/01,-0.009730,-0.009526
1973/06/04,-0.009218,-0.010580
1973/06/05,0.016216,0.009107
1973/06/06,-0.002902,-0.004266
1973/06/07,0.014865,0.007232
1973/06/08,0.011417,0.013935
1973/06/11,-0.002822,-0.000161
1973/06/12,0.015011,0.013320
1973/06/13,-0.006451,0.001412
1973/06/14,-0.011063,-0.012843
1973/06/15,-0.012254,-0.012842
1973/06/18,-0.014369,-0.014387
1973/06/19,0.003920,-0.002045
1973/06/20,0.004345,0.001206
1973/06/21,-0.011894,-0.010918
1973/06/22,0.004823,0.002873
1973/06/25,-0.013871,-0.011427
1973/06/26,0.010459,0.005310
1973/06/27,0.003150,0.002285
1973/06/28,0.010354,0.008631
1973/06/29,-0.004096,-0.001272
1973/07/02,-0.013095,-0.009409
1973/07/03,-0.010102,-0.004626
1973/07/05,-0.000944,-0.001661
1973/07/06,-0.004926,-0.002541
1973/07/09,0.008613,0.007296
1973/07/10,0.013790,0.016335
1973/07/11,0.022279,0.026979
1973/07/12,-0.002930,0.003620
1973/07/13,-0.013465,-0.007600
1973/07/16,0.015572,0.012525
1973/07/17,0.000374,0.005242
1973/07/18,0.005974,0.010612
1973/07/19,0.001911,0.002280
1973/07/20,0.005680,0.006567
1973/07/23,0.003479,0.005667
1973/07/24,0.005952,0.003483
1973/07/25,0.014077,0.013312
1973/07/26,0.001762,0.001574
1973/07/27,-0.002562,-0.004354
1973/07/30,-0.002731,-0.003848
1973/07/31,-0.009340,-0.007930
1973/08/01,-0.012665,-0.012578
1973/08/02,-0.000817,-0.001755
1973/08/03,-0.001657,-0.000535
1973/08/06,0.002897,0.003758
1973/08/07,-0.001616,-0.000908
1973/08/08,-0.008937,-0.009101
1973/08/09,0.000544,-0.000352
1973/08/10,-0.007581,-0.008815
1973/08/13,-0.009783,-0.013972
1973/08/14,-0.009554,-0.008151
1973/08/15,0.003262,0.004099
1973/08/16,-0.006415,-0.001786
1973/08/17,-0.000051,0.001944
1973/08/20,-0.006641,-0.007236
1973/08/21,-0.007120,-0.006315
1973/08/22,-0.003466,-0.005629
1973/08/23,0.013891,0.010629
1973/08/24,-0.002101,0.000788
1973/08/27,0.008261,0.004287
1973/08/28,0.006040,0.007532
1973/08/29,0.009667,0.013693
1973/08/30,-0.001409,0.003693
1973/08/31,0.003720,0.007797
1973/09/04,0.002907,0.009504
